"drama","character","corpus","scenes","actives","passives","presence","Speaker.figure_surface","nfig","length","V1","lastAct","tokens","types","utterances","utteranceLengthMean","utteranceLengthSd","firstBegin","lastEnd","TTR","Liebe","Familie","Krieg","Ratio","Religion","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","degree","wdegree","between","close","eigen","type"
"n2kq.0","hiller","qd",7,4,4,0,"HILLER",19,28718,"n2kq.0","1",1287,505,44,29.25,22.0318215949271,46705,143484,39.2385392385392,1.72666839333506e-05,0.000102838338132456,1.46603920188826e-05,1.86779032932879e-05,4.9490495350368e-06,0.64963503649635,0.0218978102189781,0.0206812652068127,0.0450121654501217,0.0121654501216545,0.0170316301703163,0.00851581508515815,0.0267639902676399,0.0778588807785888,0.12043795620438,0.777777777777778,28,0.0771345575267144,0.6,0.870651051462547,"low_social_status"
"n2kq.0","udaschkin","qd",7,1,3,-0.285714285714286,"UDASCHKIN",19,28718,"n2kq.0","0",1065,470,35,30.4285714285714,32.3476389849269,13535,117865,44.131455399061,2.60824204486176e-05,8.28500414250207e-05,2.2145451324298e-05,1.80570603105814e-05,0,0.477633477633478,0.0678210678210678,0.025974025974026,0.0432900432900433,0.0158730158730159,0.0274170274170274,0.0115440115440115,0.0418470418470418,0.131313131313131,0.157287157287157,0.666666666666667,19,0.0270152505446623,0.529411764705882,0.531127287915596,"married_person"
"n2kq.0","udaschkin","qd",7,1,3,-0.285714285714286,"UDASCHKIN",19,28718,"n2kq.0","0",1065,470,35,30.4285714285714,32.3476389849269,13535,117865,44.131455399061,2.60824204486176e-05,8.28500414250207e-05,2.2145451324298e-05,1.80570603105814e-05,0,0.477633477633478,0.0678210678210678,0.025974025974026,0.0432900432900433,0.0158730158730159,0.0274170274170274,0.0115440115440115,0.0418470418470418,0.131313131313131,0.157287157287157,0.666666666666667,19,0.0270152505446623,0.529411764705882,0.531127287915596,"aristocrat"
"n2kq.0","waldemar","qd",7,3,5,-0.285714285714286,"WALDEMAR",19,28718,"n2kq.0","1",8830,2319,240,36.7916666666667,47.0245899945572,2470,143367,26.2627406568516,4.84459544482194e-05,7.91086536539871e-05,1.92311801534221e-05,4.35578012021953e-05,1.08200907444944e-05,0.554044380816034,0.0139584824624195,0.0182534001431639,0.0782032927702219,0.00393700787401575,0.00429491768074445,0.00626342161775233,0.0191481746599857,0.119362920544023,0.182534001431639,1,37,0.0841269841269841,0.6,1,"strategist"
"n2kq.0","waldemar","qd",7,3,5,-0.285714285714286,"WALDEMAR",19,28718,"n2kq.0","1",8830,2319,240,36.7916666666667,47.0245899945572,2470,143367,26.2627406568516,4.84459544482194e-05,7.91086536539871e-05,1.92311801534221e-05,4.35578012021953e-05,1.08200907444944e-05,0.554044380816034,0.0139584824624195,0.0182534001431639,0.0782032927702219,0.00393700787401575,0.00429491768074445,0.00626342161775233,0.0191481746599857,0.119362920544023,0.182534001431639,1,37,0.0841269841269841,0.6,1,"aristocrat"
"n750.0","cleon","qd",53,10,7,0.0566037735849057,"CLEON",8,27686,"n750.0","1",4151,1009,82,50.6219512195122,35.7662646223313,512,144729,24.307395808239,5.62113546936481e-05,0.000177136621933765,1.02271332663645e-05,3.93788336452755e-05,2.30164782640051e-05,0.586509146341463,0.00419207317073171,0.177210365853659,0.0148628048780488,0.0118140243902439,0.0282012195121951,0.00724085365853659,0.0377286585365854,0.00266768292682927,0.129573170731707,0.857142857142857,23,0.0238095238095238,0.304347826086957,0.564642193340088,"father"
"n750.0","der_magister","qd",53,7,5,0.0377358490566038,"DER MAGISTER",8,27686,"n750.0","1",2553,797,38,67.1842105263158,44.9779857643041,25631,145156,31.2181746964356,9.57479218348784e-05,6.04824773622728e-05,2.77143427266479e-05,0.000109222935309892,2.4948792603182e-06,0.475265017667845,0.00647820965842167,0.297997644287397,0.0412249705535925,0.00647820965842167,0.00647820965842167,0.00471142520612485,0.0365135453474676,0.00471142520612485,0.120141342756184,0.857142857142857,15,0.166666666666667,0.411764705882353,0.352137371457992,"scholar"
"n750.0","julchen","qd",53,25,15,0.188679245283019,"JULCHEN",8,27686,"n750.0","1",5987,1113,160,37.41875,30.1950622551303,13357,144897,18.5902789376983,0.000118775866228681,8.35142809420411e-05,2.12725055229727e-05,3.77420308103455e-05,4.25550476137789e-06,0.490357345433919,0.0053885422575156,0.252694271128758,0.00737379466817924,0.00198525241066364,0.00482132728304027,0.00255246738513897,0.0337492909812819,0.0022688598979013,0.198808848553602,0.857142857142857,39,0,0.189189189189189,0.868461584430878,"daughter"
"n750.0","julchen","qd",53,25,15,0.188679245283019,"JULCHEN",8,27686,"n750.0","1",5987,1113,160,37.41875,30.1950622551303,13357,144897,18.5902789376983,0.000118775866228681,8.35142809420411e-05,2.12725055229727e-05,3.77420308103455e-05,4.25550476137789e-06,0.490357345433919,0.0053885422575156,0.252694271128758,0.00737379466817924,0.00198525241066364,0.00482132728304027,0.00255246738513897,0.0337492909812819,0.0022688598979013,0.198808848553602,0.857142857142857,39,0,0.189189189189189,0.868461584430878,"sister"
"n750.0","lottchen","qd",53,25,23,0.0377358490566038,"LOTTCHEN",8,27686,"n750.0","1",6939,1385,139,49.9208633093525,37.3737613818707,385,145767,19.9596483643176,0.000167331187651118,9.64285411527343e-05,2.10731251036662e-05,4.84995621182392e-05,1.37687564885265e-05,0.492052360916316,0.00280504908835905,0.308555399719495,0.018700327255727,0.00233754090696587,0.00818139317438055,0.00210378681626928,0.0119214586255259,0.00163627863487611,0.151706404862085,1,46,0.0793650793650794,0.388888888888889,1,"sister"
